HG00096	HG00103	HG00106	HG00111	HG00116	HG00126	HG00132	HG00149	HG00150	HG00176	geneID
0	0	0	0	0	0	0	0	0	0	ENSG00000187175.5_3
0	0	0	0	0	0	0	0	0	0	ENSG00000187766.1_2
0	0	0	0	0	0	0	0	0	0	ENSG00000188155.11_3
1	0	0	0	0	0	0	0	0	0	ENSG00000188660.3_4
379	159	305	208	203	187	173	189	110	117	ENSG00000188681.11_2
0	0	0	0	0	0	0	0	0	0	ENSG00000188694.5_2
0	0	0	0	0	0	0	0	0	0	ENSG00000188992.11_3
0	0	0	0	0	0	0	0	0	0	ENSG00000189089.5_4
0	0	0	0	0	0	0	0	0	0	ENSG00000189169.7_2
0	0	0	0	0	0	0	0	0	0	ENSG00000197381.15_3
0	0	0	0	0	0	0	0	0	0	ENSG00000197683.4_2
0	0	0	0	0	0	0	0	0	0	ENSG00000197934.8_6
0	0	0	0	0	0	0	0	0	0	ENSG00000198054.12_4
0	0	0	0	0	0	0	0	0	0	ENSG00000198390.4_2
0	0	0	0	0	0	0	0	0	0	ENSG00000198434.1
0	0	0	0	0	0	0	0	0	0	ENSG00000198618.5_4
2534	1936	2467	2268	1721	2757	3833	2672	2752	2475	ENSG00000198743.6_3
0	0	0	0	0	0	0	0	0	0	ENSG00000198862.13_4
0	0	0	0	0	0	0	0	0	0	ENSG00000199030.1
0	0	0	0	0	0	0	0	0	0	ENSG00000199598.1
0	0	0	0	0	0	0	0	0	0	ENSG00000199698.1
0	0	0	0	0	0	0	0	0	0	ENSG00000199806.1
0	0	0	0	0	0	0	0	0	0	ENSG00000199962.1
0	0	0	0	0	0	0	0	0	0	ENSG00000200213.1
0	0	0	0	0	0	0	0	0	0	ENSG00000200754.1
0	0	0	0	0	0	0	0	0	0	ENSG00000200792.1
0	0	0	0	0	0	0	0	0	0	ENSG00000201025.1
0	0	0	0	0	0	0	0	0	0	ENSG00000201812.1
0	0	0	0	0	0	0	0	0	0	ENSG00000201984.1
0	0	0	0	0	0	0	0	0	0	ENSG00000202239.1
0	0	0	0	0	0	0	0	0	0	ENSG00000202339.1
4	4	9	2	10	11	16	7	5	11	ENSG00000203616.2_4
0	0	0	0	0	0	0	0	0	0	ENSG00000205424.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000205439.10_2
0	0	0	0	0	0	0	0	0	0	ENSG00000205445.3_3
0	9	5	11	11	0	14	3	15	8	ENSG00000205581.10_3
1	0	0	0	0	1	1	2	0	1	ENSG00000205622.9_6
0	1	0	0	0	0	0	0	0	0	ENSG00000205670.10_3
28	26	37	35	41	43	51	62	33	33	ENSG00000205726.14_4
0	0	0	0	0	0	0	0	0	0	ENSG00000205758.11_4
0	0	0	0	0	0	0	0	0	0	ENSG00000205927.4_3
0	0	0	0	0	0	0	0	0	0	ENSG00000205929.10_3
0	0	0	0	0	0	0	0	0	0	ENSG00000205930.8_6
0	0	0	0	0	0	0	0	0	0	ENSG00000206102.2_2
0	0	0	0	0	0	0	0	0	0	ENSG00000206104.2_2
0	0	0	0	0	0	0	0	0	0	ENSG00000206105.2_2
0	0	0	0	0	0	0	0	0	0	ENSG00000206106.2_2
0	0	0	0	0	0	0	0	0	0	ENSG00000206107.2_2
0	0	0	0	0	0	0	0	0	0	ENSG00000206802.1
0	0	0	0	0	0	0	0	0	0	ENSG00000207097.1
0	0	0	0	0	0	0	0	0	0	ENSG00000207098.1
0	0	0	0	0	0	0	0	0	0	ENSG00000207147.1
0	0	0	0	0	0	0	0	0	0	ENSG00000207416.1
0	0	0	0	0	0	0	0	0	0	ENSG00000207476.1
0	0	0	0	0	0	0	0	0	0	ENSG00000207503.1
0	0	0	0	0	0	0	0	0	0	ENSG00000207638.1
0	0	0	0	0	0	0	0	0	0	ENSG00000207863.1
