sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	protein_ID
5738	26275	0	5661	12104	0	3736	99034	20688	12719	76447	3229	4288	386655	51966	0	12362	0	12120	0	28912	0	0	0	7287	0	0	20167	20460	11954	5149	0	16894	0	783095	0	0	10764	0	0	0	26766	557551	0	0	0	52489	0	17266	0	20376	0	0	0	8154	14320	25407	0	0	437526	6703	13978	28246	0	protein_31
137266	70662	50978	44922	123976	0	108248	7154	25176	5321	2847749	41780	52514	20360	2770398	0	280027	0	94163	6241	50408	13408	10521	0	150739	1260956	22779	70870	165214	30903	23565	1202287	86319	0	36843	0	0	89206	16020	0	2835	22805	60857	1541	0	1066	15755	35226	123343	1420245	58995	9845	0	0	416139	26002	38315	168770	7531	54788	14602	154770	84127	0	protein_32
299805	385932	108370	172072	42708	89327	375395	236724	185497	404173	295265	123667	172671	127606	197070	102548	56318	125853	302533	113184	194037	112808	94070	125797	207536	338132	107741	5908	538190	254778	515370	284600	448535	395847	151835	105180	285409	3530	154635	246702	59181	171089	123008	69204	282183	173330	99248	95466	3848	259556	213936	157098	123624	131024	460899	4358	197568	84954	85607	98584	224558	2618	558750	117965	protein_33
815977	1077971	1078181	892017	475606	814381	1555952	253856	896560	48157	1368148	734665	834226	620201	914651	298050	632452	459964	710660	2290879	1196119	621758	643305	504798	967324	925677	963319	1120591	1024402	53551	1068194	824561	721172	1098698	1683708	793118	210504	2105308	2102804	158661	0	1438497	1193851	0	946900	0	948429	1021594	2618912	782107	797592	1919667	120785	1506823	1461878	1683307	987721	88998	0	1738850	30556	1957687	1557293	1565344	protein_34
278075	305532	20045	469828	356354	0	514338	35700	350961	19190	55760	313990	1378314	133102	28575	0	292794	0	381605	52381	434095	29492	22423	0	512336	245128	44225	65578	277416	8968	484333	291234	1202088	135190	368749	37361	100945	228206	54234	113209	18036	376095	225378	22809	119320	22154	153982	43816	250014	137864	462135	45082	41217	30910	612328	307944	281740	28115	22563	280252	15924	167004	553092	27299	protein_35
236851	283499	665914	346250	442410	253629	406505	185067	19067	325219	254869	207565	276417	0	249859	212023	470715	306237	139604	556746	27853	517187	516038	392329	378373	260549	716499	0	301992	180251	479498	247801	269935	499928	0	172779	361202	60380	537704	223552	443036	32710	0	624894	532408	377551	0	621854	80820	262778	25228	614375	92966	248791	539774	62238	22782	87231	637940	0	193505	140728	313228	222577	protein_36
104886	0	0	14490	5563	45386	86554	14889	48465	0	3836	7795	14877	0	3927	34290	3734	44625	0	0	64157	0	0	38181	11997	9954	0	7799	0	0	103725	10737	0	13924	0	72899	0	21889	0	0	8442	75003	0	10047	15402	27149	0	0	29400	6261	61290	0	0	33926	95584	38115	36582	0	9030	0	0	32015	0	26031	protein_37
125852	804374	225941	745904	261065	0	245598	5222	152977	61852	254093	416159	747042	30104	270007	0	229116	0	320210	300303	203699	125741	114559	0	803694	341518	163593	326005	516867	40068	264712	223080	824883	146369	44932	0	105902	152473	391813	130980	102052	269736	47476	116893	256613	173017	106586	199573	164144	227690	165802	406676	57696	0	232412	170693	168834	191511	215059	46548	41302	211326	925169	0	protein_38
904379	1936846	644254	2089230	805203	254441	2522548	827143	982178	628753	391343	1501027	1953772	767653	366723	141013	881519	220469	1196741	707716	1312608	764983	702483	237820	1315113	2340798	1082520	1269864	1317537	515815	2498479	2557350	2005824	637012	1173872	87132	491295	741851	593847	575586	305756	1187910	850281	403937	674715	255034	552294	734387	1024540	1633774	1137800	793942	395769	101521	1999667	1099831	1144467	1015905	349126	1496078	527089	622866	2630586	79647	protein_39
71736948	70067063	22655947	102099962	36776093	49303958	103320051	42138961	40481986	33450856	79406062	27280921	67849105	12382026	86241059	38922067	30994004	48535183	41995845	15922193	49750161	20117068	18874058	51555841	91889846	70480998	23349090	35006829	77967016	19138115	133269830	59182014	73849025	55760135	31142043	16254921	31522184	47697868	15134904	35089990	37314019	58508988	22279072	46996036	57799143	35393040	20432070	23823908	59295958	62282876	52192894	18298992	15810875	22088925	106880081	69519878	51342948	24004962	40900076	27357073	23422020	42277240	107530085	20803010	protein_40
2526527	5004537	3268699	5291732	1744328	3019964	2559647	1523386	1566121	2605009	10063900	4428317	4460233	2040186	10899988	2549602	2306830	2837364	3005218	2657020	1653980	2691621	2471268	3079467	5865508	3155922	2912172	2360268	6418491	2028231	3199542	2618751	4853134	9615686	2978734	1904892	3918422	708027	2898784	3515493	2986339	1712805	2561314	3332447	7520712	3945706	1966566	3036978	658826	3357621	1461446	2824031	1591390	2944878	4640129	515003	1940571	5194450	3340166	2711888	1706935	594005	7024293	2321207	protein_41
